2024-11-16T04:25:24.980110Z [info     ] 2024-11-16 04:25:24,979 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 0. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:30.696662Z [info     ] 2024-11-16 04:25:30,696 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:30.697059Z [info     ] 2024-11-16 04:25:30,696 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 15000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:36.409504Z [info     ] 2024-11-16 04:25:36,409 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:36.409909Z [info     ] 2024-11-16 04:25:36,409 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 30000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:42.127923Z [info     ] 2024-11-16 04:25:42,127 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:42.128234Z [info     ] 2024-11-16 04:25:42,127 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 45000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:47.858026Z [info     ] 2024-11-16 04:25:47,857 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:47.858363Z [info     ] 2024-11-16 04:25:47,858 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 60000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:53.574815Z [info     ] 2024-11-16 04:25:53,574 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:53.575196Z [info     ] 2024-11-16 04:25:53,574 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 75000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:59.276206Z [info     ] 2024-11-16 04:25:59,276 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:25:59.276560Z [info     ] 2024-11-16 04:25:59,276 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 90000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:05.005344Z [info     ] 2024-11-16 04:26:05,005 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:05.005689Z [info     ] 2024-11-16 04:26:05,005 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 105000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:09.956924Z [info     ] 2024-11-16 04:26:09,956 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 147782, "tags": {"stream": "pipeline_benchmark-lineitem", "pid": 22685, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-bigquery name=tap-postgres producer=True run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=tap-postgres
2024-11-16T04:26:10.735276Z [info     ] 2024-11-16 04:26:10,735 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:10.735709Z [info     ] 2024-11-16 04:26:10,735 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 120000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:16.462298Z [info     ] 2024-11-16 04:26:16,462 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-lineitem' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:26:16.462623Z [info     ] 2024-11-16 04:26:16,462 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_lineitem/streams/_default with offset 135000. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
